Chapter,Title,Sections,Objectives,Sample Problems,Checkpoints,End Problems,Figures,Described Figures,Equation Markers
1,Measurement,3,8,2,0,39,18,14,14
2,Motion Along a Straight Line,6,19,6,5,49,45,37,41
3,Vectors,3,16,7,5,35,58,52,39
4,Motion in Two and Three Dimensions,7,19,8,5,56,81,69,66
5,Force and Motion—I,3,16,7,5,29,57,44,33
6,Force and Motion—II,3,8,6,2,46,49,41,26
7,Kinetic Energy and Work,6,20,9,3,33,47,35,62
8,Potential Energy and Conservation of Energy,5,18,6,5,71,60,45,63
9,Center of Mass and Linear Momentum,9,38,9,9,49,123,90,105
10,Rotation,8,33,11,7,41,43,31,81
11,"Rolling, Torque, and Angular Momentum",9,28,6,7,17,32,22,62
12,Equilibrium and Elasticity,3,11,6,3,37,40,29,35
13,Gravitation,8,25,6,5,32,33,21,53
14,Fluids,7,25,7,4,18,38,21,50
15,Oscillations,6,45,6,6,53,52,34,61
16,Waves—I,7,32,6,6,36,37,20,78
17,Waves—II,8,37,7,4,41,37,22,75
18,"Temperature, Heat, and the First Law of Thermodynamics",6,37,7,7,42,39,24,52
19,The Kinetic Theory of Gases,9,49,10,5,34,42,25,88
20,Entropy and the Second Law of Thermodynamics,4,24,6,5,32,40,20,33
21,Coulomb’s Law,3,23,4,4,38,40,25,17
22,Electric Fields,7,29,5,4,26,29,19,47
23,Gauss’ Law,6,30,7,4,26,36,22,22
24,Electric Potential,8,35,7,5,36,34,21,63
25,Capacitance,6,29,6,3,25,32,17,46
26,Current and Resistance,5,32,6,5,31,39,21,38
27,Circuits,4,34,5,5,36,49,33,58
28,Magnetic Fields,8,48,7,5,27,36,20,47
29,Magnetic Fields Due to Currents,5,24,4,3,25,32,21,38
30,Induction and Inductance,9,41,8,7,24,36,21,84
31,Electromagnetic Oscillations and Alternating Current,6,59,8,8,28,27,18,97
32,Maxwell’s Equations; Magnetism of Matter,8,54,4,6,23,40,25,59
33,Electromagnetic Waves,7,51,3,5,40,32,23,62
34,Images,6,44,4,4,43,34,24,29
35,Interference,5,38,7,5,23,44,27,48
36,Diffraction,7,43,6,5,41,38,25,40
37,Relativity,6,37,7,4,44,37,25,68
38,Photons and Matter Waves,9,44,6,5,12,35,22,49
39,More About Matter Waves,5,46,8,5,18,37,20,58
40,All About Atoms,7,52,4,3,17,20,15,41
41,Conduction of Electricity in Solids,3,33,7,2,9,18,10,19
42,Nuclear Physics,8,37,9,3,24,37,28,38
43,Energy from the Nucleus,6,26,5,2,9,18,12,19
44,"Quarks, Leptons, and the Big Bang",4,31,7,3,10,31,20,23
